objid,objtype,u,g,r,i,z,redshift,redshift_err
1237651249900617787,QSO,19.20372,19.13298,19.11341,18.99351,18.83314,2.055905,0.0005335439
1237651249900617835,GALAXY,19.23437,18.36914,17.95729,17.65461,17.53493,0.1379362,5.002828e-06
1237651249900617859,GALAXY,19.08463,17.49413,16.74958,16.40096,16.14756,0.03762966,1.840081e-05
1237651249900683346,GALAXY,19.29129,17.63083,16.52294,16.14998,15.77933,0.06795803,1.631157e-05
1237651249900749036,GALAXY,18.81571,17.06327,16.27827,15.90884,15.60949,0.03648615,1.291258e-05
1237651249900814451,STAR,19.01379,17.93599,17.52477,17.43448,17.33846,-0.0001779037,1.292705e-05
1237651249900814487,GALAXY,19.27504,17.62422,16.77468,16.34281,16.04984,0.0673974,1.471687e-05
1237651495757283360,STAR,18.84015,17.94463,17.67475,17.5833,17.58798,0.000221035,8.257893e-06
1237651495757283387,STAR,17.91485,16.97702,16.62122,16.49166,16.43508,0.0006476589,1.097699e-05
1237651495757283574,GALAXY,18.9094,17.07085,16.18337,15.74391,15.4219,0.04739984,1.220259e-05
1237651495757283598,QSO,19.31667,18.99618,18.91582,18.69722,18.46949,0.4646156,0.0001162897
1237651495757349050,GALAXY,19.04938,16.93125,16.09122,15.60791,15.29789,0.05037441,9.993578e-06
1237651495757414699,GALAXY,18.34929,17.30544,17.07711,16.81323,16.69457,0.04950067,6.390792e-06
1237651495757480197,STAR,19.15368,17.88433,17.41586,17.26197,17.20435,-1.671693e-05,9.994907e-06
1237651495757545782,GALAXY,19.25062,17.61435,16.77107,16.28745,15.93237,0.0998812,1.67998e-05
1237651495757545794,GALAXY,18.6757,17.61062,17.14868,16.81789,16.61938,0.05793411,5.904843e-06
1237651495757611229,GALAXY,18.58962,17.30897,16.57367,16.11903,15.84124,0.1003288,2.068704e-05
